Fornitore;Data inserimento;Lotto di Taglio;Commessa BV;WO;Articolo;Mov. Mag;N. Riga;Materiale;U.M.;Qtà Avanzata;Qtà Consumata;Cls Impiego BV;Conceria;Conc Des;Partita;Causale di Resa Taglio;Inviato a ST400
T498079;2023-07-13 16:20:27;L49807920230713162027000;EPEX/2023/00138/A;WSM/2023/3470;767112/V3LP1/32;VP03/2023/S/894;1;0004A1V2616 1000;DQ;0;183,00;197;463546;RINO MASTROTTO GROUP SPA;10888299;R01/Riparazione (R);SI
T498079;2023-07-13 16:15:48;L49807920230713161548000;EPEX/2023/00161/A;WSM/2023/3630;765952/V3KS1/43;VP03/2023/S/893;1;0004A1V2523 4327;DQ;0;61,00;197;;;ND;R01/Riparazione (R);SI
T571383;2023-07-13 09:41:26;L57138320230713094126000;EPEV/2023/03654/A;WPEP/2023/1299;743568/VCPP1/29;2PE/2023/S/20221;1;0004A1V2596 2915;DQ;0;9,32;113;534962;MARMARA DERI SANAYI VE TICARET;1328;R01/Riparazione (R);SI
T571383;2023-07-13 09:41:26;L57138320230713094126000;EPEV/2023/03654/A;WPEP/2023/1299;743568/VCPP1/29;2PE/2023/S/20221;2;0004A1V2596 2915;DQ;0;222,68;114;534962;MARMARA DERI SANAYI VE TICARET;1328;R01/Riparazione (R);SI
T571383;2023-07-13 09:45:33;L57138320230713094533000;EPEV/2023/03654/A;WPEP/2023/1299;743568/VCPP1/29;2PE/2023/S/20222;1;0004A1V2596 2915;DQ;0;5,19;113;550118;LUXURY TANNERY DOO;59822;R01/Riparazione (R);SI
T571383;2023-07-13 09:45:33;L57138320230713094533000;EPEV/2023/03654/A;WPEP/2023/1299;743568/VCPP1/29;2PE/2023/S/20222;2;0004A1V2596 2915;DQ;0;123,82;114;550118;LUXURY TANNERY DOO;59822;R01/Riparazione (R);SI
T571383;2023-07-13 11:19:21;L57138320230713111921000;EPEX/2023/00055/A;WPPP/2023/577;743004/V38I3/39;2PE/2023/S/20247;1;0004A1V1135 3904;DQ;0;163,00;115;540528;PELLICAN SRL;407/23;R01/Riparazione (R);SI
T571383;2023-07-13 08:40:51;L57138320230713084051000;EPEX/2023/00054/A;WPPP/2023/576;743004/V38I3/36;2PE/2023/S/20205;1;0004A1V1135 3595;DQ;0;168,00;115;540528;PELLICAN SRL;844/23;R01/Riparazione (R);SI
T571383;2023-07-13 08:45:11;L57138320230713084511000;EPEV/2023/05077/A;WPEP/2023/2041;690225/VCPP0/21;2PE/2023/S/20206;1;0004A1V2596 2113;DQ;0;316,82;113;507243;DEVICONCIA DI DE VITA GIUSEPPE;2578/23;R01/Riparazione (R);SI
T571383;2023-07-13 08:45:11;L57138320230713084511000;EPEV/2023/05077/A;WPEP/2023/2041;690225/VCPP0/21;2PE/2023/S/20206;2;0004A1V2596 2113;DQ;0;8465,18;114;507243;DEVICONCIA DI DE VITA GIUSEPPE;2578/23;R01/Riparazione (R);SI
T571383;2023-07-13 09:17:48;L57138320230713091748000;EPEV/2023/05865/A;WPEP/2023/2509;736125/V2GV1/15;2PE/2023/S/20217;1;0004A1V0811 1552;DQ;0;148,00;114;509503;CONCERIA ANTIBA SPA;2841;R01/Riparazione (R);SI
T571383;2023-07-13 09:18:36;L57138320230713091836000;EPEV/2023/05932/A;WPEP/2023/2551;763966/V3IV1/10;2PE/2023/S/20218;1;0004A1V1218 1000;DQ;0;218,00;114;571373;F.L. LEATHER S.R.L.;1068/23;R01/Riparazione (R);SI
T571383;2023-07-13 10:59:07;L57138320230713105907000;EPEV/2023/05791/A;WPEP/2023/2498;766019/VCPP1/16;2PE/2023/S/20243;1;0004A1V2523 1602;DQ;0;2765,52;197;502107;CARISMA SPA;275/23;R01/Riparazione (R);SI
T571383;2023-07-13 10:59:07;L57138320230713105907000;EPEV/2023/05791/A;WPEP/2023/2498;766019/VCPP1/16;2PE/2023/S/20243;2;0004A1V2523 1602;DQ;0;6379,48;114;502107;CARISMA SPA;275/23;R01/Riparazione (R);SI
T571383;2023-07-13 11:50:15;L57138320230713115015000;EPEV/2023/05748/A;WPEP/2023/2606;755127/V3AF1/23;2PE/2023/S/20255;1;0004A1V0808 6562;DQ;0;49,16;123;;;2811;R01/Riparazione (R);SI
T571383;2023-07-13 11:50:15;L57138320230713115015000;EPEV/2023/05748/A;WPEP/2023/2606;755127/V3AF1/23;2PE/2023/S/20255;2;0004A1V0808 6562;DQ;0;98,84;124;;;2811;R01/Riparazione (R);SI
T571383;2023-07-13 11:24:20;L57138320230713112420000;EPEV/2023/06054/A;WPEP/2023/2819;650066/V2E41/22;2PE/2023/S/20248;1;0004A1V0013 2240;DQ;0;76,07;156;602272;A22 S.R.L.;2294/23;R01/Riparazione (R);SI
T571383;2023-07-13 11:24:20;L57138320230713112420000;EPEV/2023/06054/A;WPEP/2023/2819;650066/V2E41/22;2PE/2023/S/20248;2;0004A1V0013 2240;DQ;0;218,93;158;602272;A22 S.R.L.;2294/23;R01/Riparazione (R);SI
T571383;2023-07-13 11:29:43;L57138320230713112943000;EPEV/2023/06054/A;WPEP/2023/2819;650066/V2E41/22;2PE/2023/S/20251;1;0004A1V0808 2240;DQ;0;46,14;113;509503;CONCERIA ANTIBA SPA;2512;R01/Riparazione (R);SI
T571383;2023-07-13 11:29:43;L57138320230713112943000;EPEV/2023/06054/A;WPEP/2023/2819;650066/V2E41/22;2PE/2023/S/20251;2;0004A1V0808 2240;DQ;0;121,86;114;509503;CONCERIA ANTIBA SPA;2512;R01/Riparazione (R);SI
T571383;2023-07-13 16:24:14;L57138320230713162414000;EPEV/2023/06324/A;WPEP/2023/2939;709464/V1OW1/15;2PE/2023/S/20332;1;0004A1V0389 1552;DQ;0;186,02;113;462810;RUSSO DI CASANDRINO S.P.A.;3408/23;R01/Riparazione (R);SI
T571383;2023-07-13 16:24:14;L57138320230713162414000;EPEV/2023/06324/A;WPEP/2023/2939;709464/V1OW1/15;2PE/2023/S/20332;2;0004A1V0389 1552;DQ;0;322,98;114;462810;RUSSO DI CASANDRINO S.P.A.;3408/23;R01/Riparazione (R);SI
T571383;2023-07-13 08:13:22;L57138320230713081322000;EPEV/2023/06504/A;WPEP/2023/2987;701024/V1W51/84;2PE/2023/S/20198;1;0004A1V0389 1000;DQ;0;83,91;113;462810;RUSSO DI CASANDRINO S.P.A.;WN0D;R01/Riparazione (R);SI
T571383;2023-07-13 08:13:22;L57138320230713081322000;EPEV/2023/06504/A;WPEP/2023/2987;701024/V1W51/84;2PE/2023/S/20198;2;0004A1V0389 1000;DQ;0;1209,09;114;462810;RUSSO DI CASANDRINO S.P.A.;WN0D;R01/Riparazione (R);SI
T571383;2023-07-13 09:12:42;L57138320230713091242000;EPEV/2023/06612/A;WPEP/2023/3014;717622/V3HV1/14;2PE/2023/S/20215;1;0004A1V2523 1712;DQ;0;127,00;197;502107;CARISMA SPA;507/23;R01/Riparazione (R);SI
T571383;2023-07-13 11:43:13;L57138320230713114313000;EPEV/2023/06722/A;WPEP/2023/3131;239988/V0016/81;2PE/2023/S/20253;1;0004A1V1305 1000;DQ;0;68,50;113;507243;DEVICONCIA DI DE VITA GIUSEPPE;2622/23;R01/Riparazione (R);SI
T571383;2023-07-13 11:43:13;L57138320230713114313000;EPEV/2023/06722/A;WPEP/2023/3131;239988/V0016/81;2PE/2023/S/20253;2;0004A1V1305 1000;DQ;0;557,50;114;507243;DEVICONCIA DI DE VITA GIUSEPPE;2622/23;R01/Riparazione (R);SI
T571383;2023-07-13 14:53:02;L57138320230713145302000;EPEV/2023/06751/A;WPEP/2023/3142;763966/V3IV1/10;2PE/2023/S/20278;1;0004A1V1218 1000;DQ;0;4,76;113;571373;F.L. LEATHER S.R.L.;1068/23;R01/Riparazione (R);SI
T571383;2023-07-13 14:53:02;L57138320230713145302000;EPEV/2023/06751/A;WPEP/2023/3142;763966/V3IV1/10;2PE/2023/S/20278;2;0004A1V1218 1000;DQ;0;185,24;114;571373;F.L. LEATHER S.R.L.;1068/23;R01/Riparazione (R);SI
T571383;2023-07-13 15:12:21;L57138320230713151221000;EPEV/2023/06726/A;WPEP/2023/3133;729029/VMAY3/16;2PE/2023/S/20285;1;0004A1V2523 1552;DQ;10;677,00;197;507243;DEVICONCIA DI DE VITA GIUSEPPE;2129/23;004/Dimensione/conformità/qualità della pelle (-);SI
T571383;2023-07-13 15:13:11;L57138320230713151311000;EPEV/2023/06726/A;WPEP/2023/3133;729029/VMAY3/16;2PE/2023/S/20286;1;0004A1V2523 1552;DQ;20;1385,00;197;507243;DEVICONCIA DI DE VITA GIUSEPPE;2539/23;/;SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07071/A;WPEP/2023/3273;754443/V3IV1/84;2PE/2023/S/20204;1;0004A1V1218 1000;DQ;50;635,41;113;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07071/A;WPEP/2023/3273;754443/V3IV1/84;2PE/2023/S/20204;2;0004A1V1218 1000;DQ;50;3014,76;114;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07090/A;WPEP/2023/3278;754443/V3IV1/84;2PE/2023/S/20204;3;0004A1V1218 1000;DQ;50;635,41;113;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07090/A;WPEP/2023/3278;754443/V3IV1/84;2PE/2023/S/20204;4;0004A1V1218 1000;DQ;50;3014,76;114;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07104/A;WPEP/2023/3258;754443/V3IV1/84;2PE/2023/S/20204;11;0004A1V1218 1000;DQ;50;635,41;113;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07104/A;WPEP/2023/3258;754443/V3IV1/84;2PE/2023/S/20204;12;0004A1V1218 1000;DQ;50;3014,76;114;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07114/A;WPEP/2023/3264;754443/V3IV1/84;2PE/2023/S/20204;7;0004A1V1218 1000;DQ;50;635,41;113;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07114/A;WPEP/2023/3264;754443/V3IV1/84;2PE/2023/S/20204;8;0004A1V1218 1000;DQ;50;3014,76;114;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07121/A;WPEP/2023/3267;754443/V3IV1/84;2PE/2023/S/20204;10;0004A1V1218 1000;DQ;50;3014,76;114;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07121/A;WPEP/2023/3267;754443/V3IV1/84;2PE/2023/S/20204;9;0004A1V1218 1000;DQ;50;635,41;113;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07126/A;WPEP/2023/3270;754443/V3IV1/84;2PE/2023/S/20204;5;0004A1V1218 1000;DQ;50;635,41;113;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
T571383;2023-07-13 08:39:52;L57138320230713083952000;EPEV/2023/07126/A;WPEP/2023/3270;754443/V3IV1/84;2PE/2023/S/20204;6;0004A1V1218 1000;DQ;50;3014,76;114;571373;F.L. LEATHER S.R.L.;1068/23;003/Taglio in mix (-);SI
